# Height[km]  Transmittance  Weighting_Function
0.000000        0.230461        0.000000
0.005000        0.230702        0.048367
0.010000        0.230944        0.048383
0.015000        0.231186        0.048399
0.020000        0.231428        0.048415
0.025000        0.231671        0.048431
0.030000        0.231913        0.048447
0.035000        0.232155        0.048463
0.040000        0.232398        0.048479
0.045000        0.232640        0.048495
0.050000        0.232883        0.048511
0.055000        0.233125        0.048527
0.060000        0.233368        0.048543
0.065000        0.233611        0.048558
0.070000        0.233854        0.048574
0.075000        0.234097        0.048590
0.080000        0.234340        0.048606
0.085000        0.234583        0.048621
0.090000        0.234826        0.048637
0.095000        0.235069        0.048653
0.100000        0.235312        0.048668
0.105000        0.235556        0.048684
0.110000        0.235799        0.048699
0.115000        0.236043        0.048715
0.120000        0.236287        0.048730
0.125000        0.236530        0.048746
0.130000        0.236774        0.048761
0.135000        0.237018        0.048777
0.140000        0.237262        0.048792
0.145000        0.237506        0.048807
0.150000        0.237750        0.048823
0.155000        0.237994        0.048838
0.160000        0.238239        0.048853
0.165000        0.238483        0.048868
0.170000        0.238727        0.048884
0.175000        0.238972        0.048899
0.180000        0.239216        0.048914
0.185000        0.239461        0.048929
0.190000        0.239706        0.048944
0.195000        0.239951        0.048959
0.200000        0.240195        0.048974
0.205000        0.240440        0.048989
0.210000        0.240685        0.049004
0.215000        0.240930        0.049019
0.220000        0.241176        0.049034
0.225000        0.241421        0.049048
0.230000        0.241666        0.049063
0.235000        0.241912        0.049078
0.240000        0.242157        0.049093
0.245000        0.242403        0.049107
0.250000        0.242648        0.049122
0.255000        0.242894        0.049137
0.260000        0.243140        0.049151
0.265000        0.243385        0.049166
0.270000        0.243631        0.049181
0.275000        0.243877        0.049195
0.280000        0.244123        0.049210
0.285000        0.244370        0.049224
0.290000        0.244616        0.049238
0.295000        0.244862        0.049253
0.300000        0.245108        0.049267
0.305000        0.245355        0.049282
0.310000        0.245601        0.049296
0.315000        0.245848        0.049310
0.320000        0.246094        0.049324
0.325000        0.246341        0.049339
0.330000        0.246588        0.049353
0.335000        0.246835        0.049367
0.340000        0.247082        0.049381
0.345000        0.247329        0.049395
0.350000        0.247576        0.049409
0.355000        0.247823        0.049423
0.360000        0.248070        0.049437
0.365000        0.248317        0.049451
0.370000        0.248564        0.049465
0.375000        0.248812        0.049479
0.380000        0.249059        0.049493
0.385000        0.249307        0.049507
0.390000        0.249554        0.049520
0.395000        0.249802        0.049534
0.400000        0.250050        0.049548
0.405000        0.250298        0.049562
0.410000        0.250546        0.049575
0.415000        0.250794        0.049589
0.420000        0.251042        0.049603
0.425000        0.251290        0.049616
0.430000        0.251538        0.049630
0.435000        0.251786        0.049643
0.440000        0.252034        0.049657
0.445000        0.252283        0.049670
0.450000        0.252531        0.049684
0.455000        0.252780        0.049697
0.460000        0.253028        0.049710
0.465000        0.253277        0.049724
0.470000        0.253525        0.049737
0.475000        0.253774        0.049750
0.480000        0.254023        0.049763
0.485000        0.254272        0.049777
0.490000        0.254521        0.049790
0.495000        0.254770        0.049803
0.500000        0.255019        0.049816
0.505000        0.255268        0.049829
0.510000        0.255517        0.049842
0.515000        0.255767        0.049855
0.520000        0.256016        0.049868
0.525000        0.256265        0.049881
0.530000        0.256515        0.049894
0.535000        0.256764        0.049907
0.540000        0.257014        0.049920
0.545000        0.257264        0.049933
0.550000        0.257513        0.049946
0.555000        0.257763        0.049958
0.560000        0.258013        0.049971
0.565000        0.258263        0.049984
0.570000        0.258513        0.049996
0.575000        0.258763        0.050009
0.580000        0.259013        0.050022
0.585000        0.259263        0.050034
0.590000        0.259513        0.050047
0.595000        0.259764        0.050059
0.600000        0.260014        0.050072
0.605000        0.260264        0.050084
0.610000        0.260515        0.050097
0.615000        0.260765        0.050109
0.620000        0.261016        0.050121
0.625000        0.261267        0.050134
0.630000        0.261517        0.050146
0.635000        0.261768        0.050158
0.640000        0.262019        0.050171
0.645000        0.262270        0.050183
0.650000        0.262521        0.050195
0.655000        0.262772        0.050207
0.660000        0.263023        0.050219
0.665000        0.263274        0.050231
0.670000        0.263526        0.050243
0.675000        0.263777        0.050255
0.680000        0.264028        0.050267
0.685000        0.264280        0.050279
0.690000        0.264531        0.050291
0.695000        0.264782        0.050303
0.700000        0.265034        0.050315
0.705000        0.265286        0.050327
0.710000        0.265537        0.050339
0.715000        0.265789        0.050350
0.720000        0.266041        0.050362
0.725000        0.266293        0.050374
0.730000        0.266545        0.050385
0.735000        0.266797        0.050397
0.740000        0.267049        0.050409
0.745000        0.267301        0.050420
0.750000        0.267553        0.050432
0.755000        0.267805        0.050443
0.760000        0.268058        0.050455
0.765000        0.268310        0.050466
0.770000        0.268562        0.050478
0.775000        0.268815        0.050489
0.780000        0.269067        0.050500
0.785000        0.269320        0.050512
0.790000        0.269572        0.050523
0.795000        0.269825        0.050534
0.800000        0.270078        0.050546
0.805000        0.270331        0.050557
0.810000        0.270583        0.050568
0.815000        0.270836        0.050579
0.820000        0.271089        0.050590
0.825000        0.271342        0.050601
0.830000        0.271595        0.050612
0.835000        0.271848        0.050623
0.840000        0.272102        0.050634
0.845000        0.272355        0.050645
0.850000        0.272608        0.050656
0.855000        0.272861        0.050667
0.860000        0.273115        0.050678
0.865000        0.273368        0.050689
0.870000        0.273622        0.050699
0.875000        0.273875        0.050710
0.880000        0.274129        0.050721
0.885000        0.274383        0.050732
0.890000        0.274636        0.050742
0.895000        0.274890        0.050753
0.900000        0.275144        0.050764
0.905000        0.275398        0.050774
0.910000        0.275652        0.050785
0.915000        0.275906        0.050795
0.920000        0.276160        0.050806
0.925000        0.276414        0.050816
0.930000        0.276668        0.050827
0.935000        0.276922        0.050837
0.940000        0.277176        0.050847
0.945000        0.277431        0.050858
0.950000        0.277685        0.050868
0.955000        0.277939        0.050878
0.960000        0.278194        0.050888
0.965000        0.278448        0.050899
0.970000        0.278703        0.050909
0.975000        0.278957        0.050919
0.980000        0.279212        0.050929
0.985000        0.279467        0.050939
0.990000        0.279721        0.050949
0.995000        0.279976        0.050959
1.000000        0.280231        0.050969
1.005000        0.280486        0.050979
1.010000        0.280741        0.050989
1.015000        0.280996        0.050999
1.020000        0.281251        0.051009
1.025000        0.281506        0.051019
1.030000        0.281761        0.051028
1.035000        0.282016        0.051038
1.040000        0.282272        0.051048
1.045000        0.282527        0.051058
1.050000        0.282782        0.051067
1.055000        0.283038        0.051077
1.060000        0.283293        0.051087
1.065000        0.283549        0.051096
1.070000        0.283804        0.051106
1.075000        0.284060        0.051115
1.080000        0.284315        0.051125
1.085000        0.284571        0.051134
1.090000        0.284827        0.051144
1.095000        0.285082        0.051153
1.100000        0.285338        0.051162
1.105000        0.285594        0.051172
1.110000        0.285850        0.051181
1.115000        0.286106        0.051190
1.120000        0.286362        0.051199
1.125000        0.286618        0.051209
1.130000        0.286874        0.051218
1.135000        0.287130        0.051227
1.140000        0.287386        0.051236
1.145000        0.287643        0.051245
1.150000        0.287899        0.051254
1.155000        0.288155        0.051263
1.160000        0.288412        0.051272
1.165000        0.288668        0.051281
1.170000        0.288924        0.051290
1.175000        0.289181        0.051299
1.180000        0.289437        0.051308
1.185000        0.289694        0.051317
1.190000        0.289951        0.051325
1.195000        0.290207        0.051334
1.200000        0.290464        0.051343
1.205000        0.290721        0.051352
1.210000        0.290978        0.051360
1.215000        0.291234        0.051369
1.220000        0.291491        0.051378
1.225000        0.291748        0.051386
1.230000        0.292005        0.051395
1.235000        0.292262        0.051403
1.240000        0.292519        0.051412
1.245000        0.292776        0.051420
1.250000        0.293034        0.051429
1.255000        0.293291        0.051437
1.260000        0.293548        0.051445
1.265000        0.293805        0.051454
1.270000        0.294063        0.051462
1.275000        0.294320        0.051470
1.280000        0.294577        0.051479
1.285000        0.294835        0.051487
1.290000        0.295092        0.051495
1.295000        0.295350        0.051503
1.300000        0.295607        0.051511
1.305000        0.295865        0.051519
1.310000        0.296123        0.051527
1.315000        0.296380        0.051535
1.320000        0.296638        0.051543
1.325000        0.296896        0.051551
1.330000        0.297154        0.051559
1.335000        0.297411        0.051567
1.340000        0.297669        0.051575
1.345000        0.297927        0.051583
1.350000        0.298185        0.051591
1.355000        0.298443        0.051599
1.360000        0.298701        0.051606
1.365000        0.298959        0.051614
1.370000        0.299217        0.051622
1.375000        0.299475        0.051629
1.380000        0.299734        0.051637
1.385000        0.299992        0.051645
1.390000        0.300250        0.051652
1.395000        0.300508        0.051660
1.400000        0.300767        0.051667
1.405000        0.301025        0.051675
1.410000        0.301284        0.051682
1.415000        0.301542        0.051690
1.420000        0.301800        0.051697
1.425000        0.302059        0.051704
1.430000        0.302318        0.051712
1.435000        0.302576        0.051719
1.440000        0.302835        0.051726
1.445000        0.303093        0.051733
1.450000        0.303352        0.051741
1.455000        0.303611        0.051748
1.460000        0.303870        0.051755
1.465000        0.304128        0.051762
1.470000        0.304387        0.051769
1.475000        0.304646        0.051776
1.480000        0.304905        0.051783
1.485000        0.305164        0.051790
1.490000        0.305423        0.051797
1.495000        0.305682        0.051804
1.500000        0.305941        0.051811
1.505000        0.306200        0.051818
1.510000        0.306459        0.051825
1.515000        0.306718        0.051831
1.520000        0.306978        0.051838
1.525000        0.307237        0.051845
1.530000        0.307496        0.051852
1.535000        0.307755        0.051858
1.540000        0.308015        0.051865
1.545000        0.308274        0.051872
1.550000        0.308534        0.051878
1.555000        0.308793        0.051885
1.560000        0.309052        0.051891
1.565000        0.309312        0.051898
1.570000        0.309571        0.051904
1.575000        0.309831        0.051911
1.580000        0.310091        0.051917
1.585000        0.310350        0.051924
1.590000        0.310610        0.051930
1.595000        0.310869        0.051936
1.600000        0.311129        0.051943
1.605000        0.311389        0.051949
1.610000        0.311649        0.051955
1.615000        0.311909        0.051961
1.620000        0.312168        0.051967
1.625000        0.312428        0.051974
1.630000        0.312688        0.051980
1.635000        0.312948        0.051986
1.640000        0.313208        0.051992
1.645000        0.313468        0.051998
1.650000        0.313728        0.052004
1.655000        0.313988        0.052010
1.660000        0.314248        0.052016
1.665000        0.314508        0.052022
1.670000        0.314768        0.052027
1.675000        0.315029        0.052033
1.680000        0.315289        0.052039
1.685000        0.315549        0.052045
1.690000        0.315809        0.052051
1.695000        0.316070        0.052056
1.700000        0.316330        0.052062
1.705000        0.316590        0.052068
1.710000        0.316851        0.052073
1.715000        0.317111        0.052079
1.720000        0.317371        0.052084
1.725000        0.317632        0.052090
1.730000        0.317892        0.052095
1.735000        0.318153        0.052101
1.740000        0.318413        0.052106
1.745000        0.318674        0.052112
1.750000        0.318934        0.052117
1.755000        0.319195        0.052123
1.760000        0.319456        0.052128
1.765000        0.319716        0.052133
1.770000        0.319977        0.052138
1.775000        0.320238        0.052144
1.780000        0.320499        0.052149
1.785000        0.320759        0.052154
1.790000        0.321020        0.052159
1.795000        0.321281        0.052164
1.800000        0.321542        0.052169
1.805000        0.321803        0.052175
1.810000        0.322064        0.052180
1.815000        0.322324        0.052185
1.820000        0.322585        0.052190
1.825000        0.322846        0.052194
1.830000        0.323107        0.052199
1.835000        0.323368        0.052204
1.840000        0.323629        0.052209
1.845000        0.323891        0.052214
1.850000        0.324152        0.052219
1.855000        0.324413        0.052223
1.860000        0.324674        0.052228
1.865000        0.324935        0.052233
1.870000        0.325196        0.052238
1.875000        0.325457        0.052242
1.880000        0.325719        0.052247
1.885000        0.325980        0.052251
1.890000        0.326241        0.052256
1.895000        0.326503        0.052261
1.900000        0.326764        0.052265
1.905000        0.327025        0.052269
1.910000        0.327287        0.052274
1.915000        0.327548        0.052278
1.920000        0.327809        0.052283
1.925000        0.328071        0.052287
1.930000        0.328332        0.052291
1.935000        0.328594        0.052296
1.940000        0.328855        0.052300
1.945000        0.329117        0.052304
1.950000        0.329378        0.052308
1.955000        0.329640        0.052313
1.960000        0.329901        0.052317
1.965000        0.330163        0.052321
1.970000        0.330425        0.052325
1.975000        0.330686        0.052329
1.980000        0.330948        0.052333
1.985000        0.331210        0.052337
1.990000        0.331471        0.052341
1.995000        0.331733        0.052345
2.000000        0.331995        0.052349
2.005000        0.332257        0.052353
2.010000        0.332518        0.052357
2.015000        0.332780        0.052360
2.020000        0.333042        0.052364
2.025000        0.333304        0.052368
2.030000        0.333566        0.052372
2.035000        0.333828        0.052375
2.040000        0.334089        0.052379
2.045000        0.334351        0.052383
2.050000        0.334613        0.052386
2.055000        0.334875        0.052390
2.060000        0.335137        0.052393
2.065000        0.335399        0.052397
2.070000        0.335661        0.052400
2.075000        0.335923        0.052404
2.080000        0.336185        0.052407
2.085000        0.336447        0.052411
2.090000        0.336709        0.052414
2.095000        0.336971        0.052418
2.100000        0.337234        0.052421
2.105000        0.337496        0.052424
